age,job,marital,education,default,balance,housing,loan,contact,day,duration,campaign,pdays,previous,poutcome,y
35,technician,single,secondary,no,5731,yes,no,cellular,4,164,2,167,4,other,no
29,technician,single,secondary,no,778,yes,no,unknown,6,1994,2,-1,0,unknown,no
40,management,divorced,tertiary,no,823,no,no,cellular,13,159,4,-1,0,unknown,no
41,services,single,secondary,no,1629,yes,no,unknown,20,85,1,-1,0,unknown,no
38,blue-collar,married,primary,no,498,yes,no,unknown,29,107,2,-1,0,unknown,no
30,services,married,secondary,no,48,yes,no,cellular,31,662,13,-1,0,unknown,yes
29,services,single,secondary,no,536,yes,no,telephone,2,30,5,-1,0,unknown,no
53,management,married,tertiary,no,57,no,yes,cellular,19,84,3,-1,0,unknown,no
30,technician,single,secondary,no,2567,no,no,cellular,18,813,4,-1,0,unknown,yes
48,management,married,tertiary,no,-10,no,no,cellular,4,144,1,-1,0,unknown,no
44,management,married,tertiary,no,1646,yes,no,cellular,29,292,6,251,1,failure,no
49,services,divorced,secondary,no,3649,yes,yes,unknown,15,150,1,-1,0,unknown,no
33,services,married,secondary,no,248,yes,no,unknown,4,132,2,-1,0,unknown,no
38,housemaid,divorced,secondary,no,70,no,no,cellular,1,263,1,-1,0,unknown,yes
30,blue-collar,married,secondary,no,393,yes,no,cellular,17,1034,2,-1,0,unknown,no
53,management,married,primary,no,2096,no,no,unknown,9,104,1,-1,0,unknown,no
47,blue-collar,married,primary,no,2749,yes,no,cellular,30,774,2,164,1,failure,yes
47,admin.,married,secondary,no,2601,no,no,cellular,24,261,1,-1,0,unknown,yes
33,entrepreneur,divorced,tertiary,no,37,no,yes,cellular,8,1082,1,-1,0,unknown,yes
51,services,married,secondary,no,-437,no,yes,cellular,30,130,3,-1,0,unknown,no
40,admin.,single,secondary,no,963,yes,no,cellular,7,479,1,-1,0,unknown,no
47,blue-collar,married,primary,no,699,no,no,cellular,5,203,1,-1,0,unknown,no
29,technician,single,secondary,no,3851,no,no,cellular,2,59,2,-1,0,unknown,no
43,blue-collar,married,secondary,no,470,yes,yes,unknown,26,185,1,-1,0,unknown,no
36,unemployed,married,secondary,no,352,yes,no,cellular,4,94,2,-1,0,unknown,no
30,technician,single,secondary,no,316,yes,yes,cellular,30,130,2,2,2,other,no
53,management,married,tertiary,no,597,no,no,unknown,22,392,1,-1,0,unknown,yes
45,blue-collar,married,primary,no,512,no,no,cellular,26,123,2,-1,0,unknown,no
45,admin.,single,tertiary,no,1683,yes,no,cellular,2,277,1,-1,0,unknown,no
27,services,single,primary,no,140,yes,yes,cellular,25,361,1,-1,0,unknown,no
22,student,single,primary,no,3472,no,no,cellular,20,332,1,183,3,failure,yes
27,blue-collar,married,secondary,no,-330,yes,yes,cellular,14,88,1,353,2,failure,no
33,management,single,tertiary,no,20,no,no,cellular,21,329,2,-1,0,unknown,no
33,entrepreneur,married,secondary,no,1847,yes,no,unknown,23,129,6,-1,0,unknown,no
44,management,married,unknown,no,187,yes,no,unknown,7,185,1,-1,0,unknown,no
46,blue-collar,married,secondary,no,6085,yes,yes,unknown,14,311,2,-1,0,unknown,no
37,admin.,married,secondary,no,5132,no,no,cellular,31,536,8,-1,0,unknown,no
47,entrepreneur,divorced,tertiary,no,178,no,no,cellular,4,291,1,-1,0,unknown,no
41,management,married,tertiary,no,5561,no,no,cellular,20,649,2,-1,0,unknown,yes
45,technician,married,tertiary,no,377,yes,no,unknown,19,835,3,-1,0,unknown,yes
32,entrepreneur,divorced,secondary,no,-934,yes,no,cellular,18,50,1,-1,0,unknown,no
34,technician,married,secondary,no,159,yes,no,cellular,18,252,1,-1,0,unknown,yes
33,management,single,tertiary,no,729,yes,yes,unknown,18,178,5,-1,0,unknown,no
73,retired,married,secondary,no,1292,no,no,cellular,3,420,1,-1,0,unknown,no
31,management,married,secondary,no,1064,no,no,telephone,20,60,1,-1,0,unknown,no
29,services,single,secondary,no,-205,no,no,cellular,30,194,1,-1,0,unknown,no
27,management,single,tertiary,no,107,no,no,cellular,18,767,3,-1,0,unknown,yes
47,management,married,secondary,no,1144,no,yes,cellular,29,324,1,-1,0,unknown,no
42,admin.,divorced,secondary,no,24,yes,no,cellular,6,219,2,-1,0,unknown,no
35,management,married,tertiary,no,94,no,no,cellular,22,239,3,-1,0,unknown,no
33,housemaid,married,tertiary,no,10,yes,no,cellular,20,129,1,322,2,failure,no
46,services,married,secondary,no,1034,no,no,cellular,8,109,2,-1,0,unknown,no
23,admin.,single,secondary,no,366,no,no,unknown,20,22,1,-1,0,unknown,no
31,technician,married,secondary,no,106,yes,no,unknown,13,101,13,-1,0,unknown,no
32,technician,single,tertiary,no,1100,yes,yes,cellular,11,67,1,-1,0,unknown,no
44,blue-collar,married,secondary,no,841,no,no,cellular,28,504,4,-1,0,unknown,no
38,admin.,single,secondary,no,100,yes,no,unknown,7,786,1,-1,0,unknown,yes
54,self-employed,married,primary,no,2132,no,yes,cellular,20,91,1,-1,0,unknown,no
31,management,married,tertiary,no,357,yes,no,cellular,13,201,2,228,5,failure,no
45,entrepreneur,married,tertiary,no,1503,no,no,cellular,17,212,3,-1,0,unknown,no
37,technician,single,secondary,no,1590,yes,no,cellular,9,121,5,315,3,other,no
42,management,married,tertiary,no,7,no,no,cellular,20,582,7,-1,0,unknown,no
35,services,married,unknown,no,618,no,no,cellular,30,951,1,-1,0,unknown,yes
36,entrepreneur,married,secondary,no,35,no,no,cellular,4,517,4,-1,0,unknown,no
31,management,married,tertiary,no,334,yes,no,unknown,13,449,1,-1,0,unknown,no
35,blue-collar,married,secondary,no,1098,yes,no,unknown,26,19,17,-1,0,unknown,no
53,management,married,unknown,no,12001,no,no,unknown,6,207,1,-1,0,unknown,no
32,blue-collar,married,secondary,no,-39,yes,no,cellular,18,104,2,-1,0,unknown,no
36,management,divorced,tertiary,no,1057,no,no,cellular,19,230,2,164,2,failure,yes
35,management,single,tertiary,no,62,yes,no,cellular,5,214,4,15,3,success,no
35,housemaid,married,tertiary,no,1265,yes,no,cellular,15,326,5,179,4,failure,yes
18,student,single,unknown,no,348,no,no,cellular,5,443,4,-1,0,unknown,yes
43,entrepreneur,married,secondary,no,556,yes,no,cellular,17,317,1,-1,0,unknown,no
42,technician,married,tertiary,no,1079,no,no,cellular,31,61,2,-1,0,unknown,no
35,technician,single,tertiary,no,2043,yes,yes,unknown,23,159,2,-1,0,unknown,no
33,technician,married,secondary,no,133,no,no,cellular,12,627,2,192,1,success,yes
40,admin.,married,primary,no,129,yes,no,cellular,12,464,3,-1,0,unknown,no
42,services,married,secondary,no,508,yes,no,unknown,30,70,1,-1,0,unknown,no
49,management,married,tertiary,no,3237,yes,no,unknown,5,232,3,-1,0,unknown,no
60,retired,married,secondary,no,-222,no,no,cellular,17,82,2,-1,0,unknown,no
26,services,single,secondary,no,187,yes,no,unknown,9,341,1,-1,0,unknown,no
53,entrepreneur,married,secondary,no,111,yes,no,unknown,15,750,2,-1,0,unknown,no
33,admin.,single,tertiary,no,146,no,no,cellular,22,380,1,91,3,success,yes
51,housemaid,married,primary,no,3073,no,no,unknown,12,410,1,-1,0,unknown,no
42,services,married,secondary,yes,129,no,no,cellular,18,390,3,-1,0,unknown,no
43,management,married,tertiary,no,1751,yes,no,cellular,21,146,4,-1,0,unknown,no
30,student,single,secondary,no,48,no,no,cellular,18,161,1,173,1,failure,yes
42,blue-collar,married,secondary,no,375,yes,no,unknown,6,99,5,-1,0,unknown,no
39,blue-collar,married,primary,no,192,no,no,unknown,4,433,1,-1,0,unknown,no
51,services,single,secondary,no,510,no,no,telephone,22,68,4,-1,0,unknown,no
52,housemaid,married,secondary,no,3923,yes,no,cellular,20,20,8,190,3,success,no
38,blue-collar,single,secondary,no,397,yes,no,cellular,17,282,1,-1,0,unknown,no
56,technician,divorced,secondary,no,689,yes,no,cellular,17,110,1,103,4,failure,no
56,technician,married,unknown,no,689,no,no,cellular,31,232,2,-1,0,unknown,no
27,admin.,married,secondary,no,-97,yes,no,unknown,18,1528,2,-1,0,unknown,yes
42,admin.,divorced,secondary,no,241,yes,no,cellular,15,1012,3,-1,0,unknown,yes
35,services,single,secondary,no,1063,yes,yes,cellular,16,327,1,-1,0,unknown,no
37,management,married,tertiary,no,887,no,no,cellular,13,257,5,-1,0,unknown,no
51,management,single,secondary,no,1610,yes,no,unknown,16,1248,3,-1,0,unknown,yes
58,services,married,secondary,no,74,no,no,cellular,29,105,2,-1,0,unknown,no
29,student,single,tertiary,no,459,no,no,unknown,26,376,1,-1,0,unknown,no
27,technician,single,secondary,no,842,no,no,cellular,30,273,1,91,1,other,no
36,technician,single,secondary,no,12264,no,no,cellular,12,158,2,-1,0,unknown,yes
40,technician,married,tertiary,no,1554,no,no,cellular,30,99,1,-1,0,unknown,no
43,management,married,tertiary,no,0,no,no,cellular,21,107,2,-1,0,unknown,no
50,management,married,tertiary,no,3284,yes,no,unknown,9,51,3,-1,0,unknown,no
33,blue-collar,married,secondary,no,1,yes,no,cellular,15,67,4,178,3,failure,no
49,blue-collar,single,primary,no,87,yes,no,telephone,14,162,2,-1,0,unknown,no
39,blue-collar,single,secondary,no,519,yes,yes,cellular,20,149,1,155,14,failure,no
52,technician,married,primary,no,-50,yes,no,cellular,15,129,2,-1,0,unknown,no
53,self-employed,married,secondary,no,1066,yes,no,cellular,7,57,2,170,4,failure,no
31,housemaid,married,secondary,no,1,yes,no,unknown,30,101,16,-1,0,unknown,no
53,technician,married,tertiary,no,9001,no,no,cellular,5,170,1,-1,0,unknown,yes
46,blue-collar,divorced,primary,no,2775,no,yes,cellular,8,188,1,-1,0,unknown,no
58,management,married,primary,no,1727,no,no,telephone,1,336,2,-1,0,unknown,no
42,blue-collar,married,primary,no,5,yes,no,cellular,25,112,2,-1,0,unknown,no
32,services,married,secondary,no,38,yes,no,cellular,15,744,1,-1,0,unknown,yes
56,blue-collar,married,unknown,no,260,yes,no,telephone,30,250,2,-1,0,unknown,no
32,services,married,secondary,no,1076,no,no,cellular,21,906,1,129,3,failure,no
62,technician,married,unknown,no,635,no,no,cellular,22,292,4,247,1,other,no
60,housemaid,married,primary,no,726,no,yes,cellular,30,94,5,-1,0,unknown,no
29,technician,married,secondary,no,444,yes,no,cellular,21,130,4,-1,0,unknown,no
25,services,single,secondary,no,382,yes,no,unknown,13,392,1,-1,0,unknown,no
27,unemployed,single,primary,no,1459,yes,no,telephone,29,153,1,-1,0,unknown,no
26,unemployed,married,primary,no,205,no,no,cellular,29,239,1,-1,0,unknown,no
58,housemaid,married,primary,no,2348,no,no,unknown,9,226,1,-1,0,unknown,no
58,retired,divorced,unknown,no,5920,yes,no,cellular,21,96,1,121,1,failure,no
27,blue-collar,single,primary,no,21,no,no,cellular,30,197,4,-1,0,unknown,no
23,admin.,single,tertiary,no,0,no,no,cellular,5,168,2,-1,0,unknown,no
34,technician,single,secondary,no,94,yes,no,cellular,26,541,2,-1,0,unknown,no
35,management,married,secondary,no,616,no,yes,cellular,7,92,2,-1,0,unknown,no
31,housemaid,married,primary,no,-367,yes,yes,telephone,7,352,2,-1,0,unknown,no
43,technician,married,secondary,no,48,yes,no,cellular,8,89,1,-1,0,unknown,no
54,unemployed,married,secondary,no,23,yes,no,unknown,8,27,3,-1,0,unknown,no
34,management,single,tertiary,no,9827,yes,no,cellular,13,871,4,-1,0,unknown,yes
62,management,divorced,tertiary,no,5943,no,no,telephone,17,196,4,-1,0,unknown,yes
26,management,single,tertiary,no,222,no,no,cellular,26,192,1,334,1,failure,yes
26,admin.,single,secondary,no,274,no,no,cellular,1,351,3,-1,0,unknown,yes
32,management,single,tertiary,no,151,yes,no,unknown,6,118,1,-1,0,unknown,no
32,management,married,secondary,no,251,no,no,cellular,25,272,6,-1,0,unknown,no
52,management,married,tertiary,no,163,no,no,cellular,28,638,6,-1,0,unknown,no
60,technician,married,primary,no,4243,yes,no,cellular,4,387,1,251,1,failure,no
41,technician,married,secondary,no,2490,yes,no,unknown,21,115,2,-1,0,unknown,no
33,management,single,secondary,yes,-174,yes,no,unknown,15,156,5,-1,0,unknown,no
60,blue-collar,married,primary,no,7929,no,no,unknown,1,111,1,-1,0,unknown,yes
41,technician,married,tertiary,no,67,yes,no,cellular,19,814,1,-1,0,unknown,yes
43,blue-collar,single,primary,no,-399,no,yes,cellular,28,662,3,-1,0,unknown,yes
56,retired,divorced,tertiary,no,13094,no,no,cellular,25,1064,1,-1,0,unknown,yes
45,services,married,secondary,no,88,yes,no,cellular,25,87,4,-1,0,unknown,no
37,technician,single,secondary,no,181,no,no,cellular,5,140,1,-1,0,unknown,no
58,services,divorced,secondary,no,1109,yes,yes,unknown,7,180,1,-1,0,unknown,no
35,management,single,tertiary,no,714,yes,no,cellular,26,135,22,-1,0,unknown,no
32,management,single,tertiary,no,935,no,no,cellular,9,165,1,91,7,success,yes
28,admin.,single,secondary,no,352,yes,yes,cellular,18,431,1,-1,0,unknown,yes
34,management,single,tertiary,no,618,yes,no,unknown,3,119,4,-1,0,unknown,no
56,retired,married,primary,no,1947,no,no,cellular,30,631,2,149,3,failure,no
41,entrepreneur,single,secondary,no,663,no,no,cellular,24,1204,1,-1,0,unknown,yes
30,admin.,single,secondary,no,1309,no,no,cellular,28,622,1,-1,0,unknown,yes
56,blue-collar,married,primary,no,136,no,no,cellular,4,270,1,-1,0,unknown,no
31,blue-collar,married,primary,no,2198,no,no,cellular,21,423,2,172,2,failure,no
43,blue-collar,single,primary,no,-234,yes,yes,unknown,2,541,1,-1,0,unknown,no
37,services,married,secondary,no,1399,yes,no,cellular,17,420,1,-1,0,unknown,no
40,blue-collar,married,secondary,no,1161,yes,yes,unknown,16,292,8,-1,0,unknown,no
57,management,divorced,tertiary,no,3287,no,no,cellular,30,277,2,337,1,success,yes
34,blue-collar,married,secondary,no,516,yes,yes,unknown,2,26,1,-1,0,unknown,no
30,management,single,tertiary,no,3967,yes,no,unknown,23,534,1,-1,0,unknown,no
54,management,married,secondary,no,0,no,no,cellular,19,106,1,-1,0,unknown,no
50,services,married,secondary,no,378,no,yes,telephone,18,55,9,-1,0,unknown,no
45,blue-collar,married,secondary,no,1577,yes,no,cellular,17,188,1,-1,0,unknown,no
59,technician,married,secondary,no,358,no,no,unknown,1,183,2,-1,0,unknown,no
33,management,married,primary,no,91,no,yes,cellular,25,113,3,-1,0,unknown,no
42,services,married,secondary,no,0,yes,no,cellular,13,116,4,-1,0,unknown,no
35,management,single,tertiary,no,5958,yes,no,cellular,22,215,1,-1,0,unknown,yes
41,unemployed,married,tertiary,no,0,no,no,cellular,29,882,1,181,3,success,yes
60,services,married,secondary,no,4428,no,no,cellular,9,125,1,96,6,failure,no
55,blue-collar,married,unknown,no,7561,no,no,unknown,6,685,3,-1,0,unknown,yes
33,blue-collar,single,primary,no,863,yes,no,telephone,13,622,3,-1,0,unknown,yes
40,technician,married,tertiary,no,1293,no,no,cellular,16,1702,3,105,2,success,yes
57,retired,divorced,primary,no,63,no,yes,cellular,25,1448,17,-1,0,unknown,yes
53,technician,divorced,secondary,no,12,no,no,unknown,5,150,2,-1,0,unknown,no
26,management,single,tertiary,no,155,yes,no,cellular,27,74,4,43,5,other,no
52,technician,married,secondary,no,930,yes,no,unknown,2,94,16,-1,0,unknown,no
51,admin.,married,secondary,no,73,no,no,cellular,21,195,1,-1,0,unknown,no
59,retired,single,secondary,no,1150,no,no,unknown,11,91,1,-1,0,unknown,no
38,services,married,secondary,no,7708,yes,no,cellular,14,218,4,331,3,other,no
33,management,married,tertiary,no,0,yes,no,cellular,9,310,1,-1,0,unknown,no
40,self-employed,married,tertiary,no,271,yes,no,cellular,21,124,3,102,4,failure,no
38,services,married,secondary,no,0,yes,yes,cellular,11,125,2,304,2,failure,no
31,management,single,tertiary,no,596,no,no,cellular,17,184,6,196,2,failure,no
44,management,married,tertiary,no,254,yes,yes,cellular,11,145,2,300,3,failure,no
46,admin.,married,secondary,no,2533,no,no,cellular,4,282,1,-1,0,unknown,no
40,blue-collar,divorced,secondary,no,125,yes,no,unknown,19,349,2,-1,0,unknown,no
44,services,single,secondary,no,2886,no,no,unknown,20,31,1,-1,0,unknown,no
31,management,single,secondary,no,99,yes,yes,cellular,18,125,1,-1,0,unknown,no
40,blue-collar,married,primary,no,98,yes,no,unknown,2,193,5,-1,0,unknown,no
41,technician,married,secondary,no,923,yes,no,cellular,7,141,3,-1,0,unknown,no
39,technician,single,secondary,no,1048,yes,yes,cellular,8,201,2,-1,0,unknown,no
31,services,married,primary,no,46,no,no,cellular,10,37,1,-1,0,unknown,no
49,technician,married,secondary,no,324,no,no,cellular,4,227,1,-1,0,unknown,no
36,services,single,unknown,no,281,yes,no,unknown,16,515,1,-1,0,unknown,yes
54,blue-collar,single,secondary,no,40,yes,no,cellular,18,172,2,-1,0,unknown,no
37,management,married,tertiary,no,6771,no,no,cellular,5,319,1,-1,0,unknown,yes
55,retired,divorced,tertiary,no,-458,yes,no,cellular,23,1331,3,-1,0,unknown,no
26,technician,single,secondary,no,276,yes,no,cellular,15,106,1,368,4,failure,no
31,technician,married,secondary,no,439,no,no,unknown,4,5,1,-1,0,unknown,no
39,blue-collar,single,primary,no,554,no,no,telephone,31,22,5,-1,0,unknown,no
42,admin.,divorced,secondary,no,527,no,yes,cellular,22,181,1,185,1,success,yes
33,management,single,tertiary,no,1530,no,no,cellular,28,88,25,-1,0,unknown,no
36,blue-collar,married,secondary,no,0,yes,no,cellular,17,273,2,131,1,failure,no
28,admin.,single,secondary,no,2290,yes,no,cellular,18,2301,1,-1,0,unknown,yes
57,management,divorced,tertiary,no,8897,yes,no,cellular,12,865,2,-1,0,unknown,yes
48,management,married,tertiary,no,7825,no,no,telephone,21,77,5,-1,0,unknown,no
28,management,single,tertiary,no,187,no,no,cellular,10,255,1,93,2,success,yes
38,unknown,single,tertiary,no,0,no,no,cellular,11,260,3,95,3,success,yes
32,blue-collar,single,secondary,no,3044,yes,no,cellular,20,533,1,-1,0,unknown,no
32,blue-collar,married,primary,no,187,no,no,cellular,20,485,1,134,1,failure,no
38,technician,single,secondary,no,211,yes,no,cellular,29,236,2,-1,0,unknown,no
60,blue-collar,married,unknown,no,2090,yes,no,cellular,7,957,2,-1,0,unknown,yes
49,technician,married,tertiary,no,0,yes,no,cellular,21,218,1,-1,0,unknown,no
49,self-employed,single,tertiary,no,-341,no,yes,cellular,18,920,2,-1,0,unknown,no
45,blue-collar,divorced,primary,no,1805,no,no,cellular,7,758,1,-1,0,unknown,no
38,blue-collar,married,secondary,no,121,yes,yes,cellular,9,80,2,-1,0,unknown,no
28,technician,married,secondary,no,158,yes,yes,telephone,24,77,1,-1,0,unknown,no
40,unemployed,married,secondary,no,1872,no,no,cellular,21,112,1,-1,0,unknown,no
32,entrepreneur,married,secondary,no,-242,yes,no,cellular,20,1202,3,-1,0,unknown,yes
33,technician,single,tertiary,no,5234,no,no,unknown,2,213,3,-1,0,unknown,no
26,entrepreneur,single,secondary,no,87,yes,no,cellular,24,225,1,-1,0,unknown,no
52,retired,married,secondary,no,5423,no,yes,cellular,17,93,1,115,1,failure,no
37,technician,married,tertiary,no,4439,yes,no,cellular,31,70,29,-1,0,unknown,no
42,management,single,tertiary,no,525,no,no,cellular,13,127,2,-1,0,unknown,no
52,management,married,tertiary,no,388,no,no,cellular,25,272,1,-1,0,unknown,yes
42,blue-collar,married,secondary,no,3,yes,no,unknown,14,34,1,-1,0,unknown,no
53,management,married,tertiary,no,15,no,no,cellular,20,921,2,-1,0,unknown,yes
37,technician,married,secondary,no,3728,no,no,unknown,20,55,4,-1,0,unknown,no
58,management,married,tertiary,no,2076,no,no,cellular,27,49,4,-1,0,unknown,no
30,management,married,tertiary,no,10884,no,no,cellular,4,333,2,-1,0,unknown,yes
43,technician,married,secondary,no,8541,yes,no,unknown,23,259,9,-1,0,unknown,no
30,management,married,secondary,no,0,yes,no,cellular,12,756,3,-1,0,unknown,no
33,unemployed,married,secondary,no,2,yes,no,cellular,16,132,1,-1,0,unknown,no
50,technician,married,secondary,no,2972,no,no,cellular,28,73,5,-1,0,unknown,no
31,management,single,tertiary,no,6495,no,no,cellular,4,383,2,35,3,failure,no
44,blue-collar,married,primary,no,140,yes,no,unknown,15,7,9,-1,0,unknown,no
29,admin.,married,secondary,no,1,yes,no,cellular,15,56,3,-1,0,unknown,no
46,blue-collar,married,primary,no,-44,no,yes,telephone,22,16,13,-1,0,unknown,no
42,management,married,tertiary,no,3713,no,no,cellular,19,709,2,-1,0,unknown,yes
35,management,single,tertiary,no,1045,yes,no,cellular,17,204,5,-1,0,unknown,no
48,technician,single,secondary,no,1245,no,no,cellular,13,169,1,134,1,other,no
51,technician,married,secondary,no,195,yes,no,cellular,17,78,1,-1,0,unknown,no
38,management,married,tertiary,no,0,yes,no,telephone,20,25,2,-1,0,unknown,no
31,blue-collar,married,secondary,no,30,yes,no,unknown,11,172,14,-1,0,unknown,no
37,management,married,secondary,yes,33,no,yes,cellular,17,117,1,-1,0,unknown,no
41,management,married,tertiary,no,251,no,yes,unknown,6,85,3,-1,0,unknown,no
40,blue-collar,married,unknown,no,222,yes,no,unknown,20,465,8,-1,0,unknown,no
30,management,married,tertiary,no,131,yes,no,cellular,11,384,6,-1,0,unknown,yes
31,admin.,divorced,secondary,no,53,yes,no,unknown,7,128,4,-1,0,unknown,no
42,blue-collar,married,secondary,no,-422,no,no,cellular,9,31,1,-1,0,unknown,no
56,management,married,unknown,no,4623,no,no,cellular,17,348,1,-1,0,unknown,yes
69,housemaid,married,primary,no,1080,no,no,cellular,22,164,2,-1,0,unknown,no
57,technician,married,tertiary,no,31,no,yes,cellular,26,395,2,-1,0,unknown,no
32,management,single,tertiary,no,223,no,no,cellular,29,365,1,-1,0,unknown,no
44,blue-collar,married,primary,no,2470,no,no,telephone,21,19,1,-1,0,unknown,no
34,management,single,tertiary,no,575,no,no,cellular,9,116,1,-1,0,unknown,yes
